Feature,Count,Percentage
apiVersion,281989,100.0
kind,281787,99.9284
metadata,270083,95.7778
METADATA_name,268836,95.3356
spec,210651,74.7019
CONTAINERS_name,110328,39.1249
CONTAINERS_image,109595,38.865
PODSPEC_containers,103334,36.6447
METADATA_labels,89483,31.7328
METADATA_namespace,72365,25.6623
ADDRESSES_ip,71176,25.2407
ADDRESSES_targetRef,71060,25.1996
ADDRESSES_TARGETREF_kind,71060,25.1996
ADDRESSES_TARGETREF_name,71060,25.1996
ADDRESSES_TARGETREF_namespace,71052,25.1967
ADDRESSES_TARGETREF_uid,71051,25.1964
ADDRESSES_TARGETREF_resourceVersion,71049,25.1957
INITCONTAINERS_name,53563,18.9947
INITCONTAINERS_image,53540,18.9866
PODSPEC_initContainers,51657,18.3188
RULES_verbs,46372,16.4446
RULES_resources,45669,16.1953
RULES_apiGroups,45492,16.1325
CONTAINERS_securityContext,44128,15.6488
CONTAINERS_ENV_name,42412,15.0403
INITCONTAINERS_securityContext,37640,13.348
CONTAINERS_PORTS_containerPort,36820,13.0572
DEPLOYMENTSPEC_template,36265,12.8604
PodSpec,36234,12.8494
DEPLOYMENTSPEC_TEMPLATE_metadata,35438,12.5672
TEMPLATE_METADATA_labels,35432,12.565
DEPLOYMENTSPEC_selector,35058,12.4324
SELECTOR_matchLabels,35001,12.4122
VOLUMES_name,33979,12.0498
SERVICESPEC_PORTS_port,33251,11.7916
METADATA_annotations,32017,11.354
DEPLOYMENTSPEC_replicas,31567,11.1944
CONTAINERS_ports,31440,11.1494
SERVICESPEC_Ports,29311,10.3944
SERVICESPEC_Selector,29098,10.3188
ADDITIONALPRINTERCOLUMNS_name,28060,9.9507
ADDITIONALPRINTERCOLUMNS_type,28060,9.9507
SERVICESPEC_PORTS_targetPort,27162,9.6323
CONTAINERS_SECURITYCONTEXT_allowPrivilegeEscalation,27067,9.5986
CONTAINERS_ENV_value,24939,8.844
INITCONTAINERS_SECURITYCONTEXT_allowPrivilegeEscalation,23197,8.2262
PODSPEC_Volumes,22981,8.1496
VOLUMEMOUNTS_mountPath,20297,7.1978
VOLUMEMOUNTS_name,20287,7.1943
SERVICESPEC_PORTS_protocol,18067,6.407
CONTAINERS_SECURITYCONTEXT_capabilities,17989,6.3793
SERVICESPEC_Type,17941,6.3623
CONTAINERS_ENV_valueFrom,17720,6.2839
SERVICESPEC_PORTS_name,16803,5.9587
CONTAINERS_resources,14044,4.9803
CONTAINERS_env,13946,4.9456
INITCONTAINERS_SECURITYCONTEXT_capabilities,13585,4.8176
CONTAINERS_CAPABILITIES_drop,13537,4.8005
CONTAINERS_volumeMounts,13496,4.786
VERSIONS_name,13270,4.7059
