Feature,key1,key2
apiVersion,apiVersion,-
VERSION_v1,v1,-
VERSION_v1beta1,v1beta1,-
VERSION_v1beta3,v1beta3,-
VERSION_v1alpha1,v1alpha1,-
VERSION_v1alpha2,v1alpha2,-
VERSION_v2,v2,-
GROUP_admissionregistration,admissionregistration.k8s.io,-
GROUP_apiextensions,apiextensions.k8s.io,-
GROUP_apiregistration,apiregistration.k8s.io,-
GROUP_apps,apps,-
GROUP_authentication,authentication.k8s.io,-
GROUP_authorization,authorization.k8s.io,-
GROUP_autoscaling,autoscaling,-
GROUP_batch,batch,-
GROUP_certificates,certificates.k8s.io,-
GROUP_coordination,coordination.k8s.io,-
GROUP_core,core,-
GROUP_discovery,discovery.k8s.io,-
GROUP_events,events.k8s.io,-
GROUP_flowcontrol,flowcontrol.apiserver.k8s.io,-
GROUP_internal,internal.apiserver.k8s.io,-
GROUP_networking,networking.k8s.io,-
GROUP_node,node.k8s.io,-
GROUP_policy,policy,-
GROUP_rbac,rbac.authorization.k8s.io,-
GROUP_resource,resource.k8s.io,-
GROUP_scheduling,scheduling.k8s.io,-
GROUP_storage,storagemigration.k8s.io,-
kind,kind,-
KIND_Container,Container,-
KIND_CronJob,CronJob,-
KIND_DaemonSet,DaemonSet,-
KIND_Deployment,Deployment,-
KIND_Job,Job,-
KIND_Pod,Pod,-
KIND_ReplicaSet,ReplicaSet,-
KIND_ReplicationController,ReplicationController,-
KIND_StatefullSet,StatefullSet,-
KIND_Endpoints,Endpoints,-
KIND_EndpintSlice,EndpintSlice,-
KIND_Ingress,Ingress,-
KIND_IngressClass,IngressClass,-
KIND_Service,Service,-
KIND_ConfigMap,ConfigMap,-
KIND_CSIDriver,CSIDriver,-
KIND_CSINode,CSINode,-
KIND_Secret,Secret,-
KIND_PersistentVolumeClaim,PersistentVolumeClaim,-
KIND_StorageClass,StorageClass,-
KIND_CSIStorageCapacity,CSIStorageCapacity,-
KIND_Volume,Volume,-
KIND_VolumeAttachment,VolumeAttachment,-
KIND_VolumeAttributesClass,VolumeAttributesClass,-
KIND_ClusterTrustBundle,ClusterTrustBundle,-
KIND_ControllerRevision,ControllerRevision,-
KIND_CustomerResourceDefinition,CustomerResourceDefinition,-
KIND_Event,Event,-
KIND_LimitRange,LimitRange,-
KIND_HorizontalPodAutoscaler,HorizontalPodAutoscaler,-
KIND_MutatingWebhookConfiguration,MutatingWebhookConfiguration,-
KIND_ValidatingWebhookConfiguration,ValidatingWebhookConfiguration,-
KIND_PodSchedulingContext,PodSchedulingContext,-
KIND_PodTemplate,PodTemplate,-
KIND_PodDisruptionBudget,PodDisruptionBudget,-
KIND_PriorityClass,PriorityClass,-
KIND_ResourceClaim,ResourceClaim,-
KIND_ResourceClaimTemplate,ResourceClaimTemplate,-
KIND_ResourceClass,ResourceClass,-
KIND_ValidatingAdmissionPolicy,ValidatingAdmissionPolicy,-
KIND_ValidatingAdmissionPolicyBinding,ValidatingAdmissionPolicyBinding,-
KIND_APIService,APIService,-
KIND_Binding,Binding,-
KIND_CertificateSigningRequest,CertificateSigningRequest,-
KIND_ClusterRole,ClusterRole,-
KIND_ClusterRoleBinding,ClusterRoleBinding,-
KIND_ComponentStatus,ComponentStatus,-
KIND_FlowSchema,FlowSchema,-
KIND_IPAddress,IPAddress,-
KIND_Lease,Lease,-
KIND_LocalSubjectAccessReview,LocalSubjectAccessReview,-
KIND_Namespace,Namespace,-
KIND_Node,Node,-
KIND_PersistentVolume,PersistentVolume,-
KIND_PriorityLevelConfiguration,PriorityLevelConfiguration,-
KIND_ResourceQuota,ResourceQuota,-
KIND_Role,Role,-
KIND_RoleBinding,RoleBinding,-
KIND_RuntimeClass,RuntimeClass,-
KIND_SelfSubjectAccessReview,SelfSubjectAccessReview,-
KIND_SelfSubjectReview,SelfSubjectReview,-
KIND_SelfSubjectRulesReview,SelfSubjectRulesReview,-
KIND_ServiceAccount,ServiceAccount,-
KIND_ServiceCIDR,ServiceCIDR,-
KIND_StorageVersion,StorageVersion,-
KIND_SubjectAccessReview,SubjectAccessReview,-
KIND_TokenRequest,TokenRequest,-
KIND_TokenReview,TokenReview,-
KIND_NetworkPolicy,NetworkPolicy,-
KIND_ResourceClaimParameters,ResourceClaimParameters,-
KIND_ResourceSlice,ResourceSlice,-
metadata,metadata,-
METADATA_name,metadata_name,-
METADATA_namespace,metadata_namespace,-
METADATA_labels,metadata_labels,-
LABELS_key,metadata_labels_key,-
LABELS_value,metadata_labels_value,-
METADATA_annotations,metadata_annotations,-
ANNOTATIONS_key,metadata_annotations_key,-
ANNOTATIONS_value,metadata_annotations_value,-
METADATA_deletionGracePeriodSeconds,metadata_deletionGracePeriodSeconds,-
METADATA_finalizers,metadata_finalizers,-
METADATA_generateName,metadata_generateName,-
METADATA_managedFields,metadata_managedFields,-
METADATA_MANAGEFIELDS_apiversion,metadata_managedFields_apiVersion,-
METADATA_MANAGEFIELDS_fieldsType,metadata_managedFields_fieldsType,- 
METADATA_MANAGEFIELDS_fieldsV1,metadata_managedFields_fieldsV1,- 
METADATA_MANAGEFIELDS_manager,metadata_managedFields_manager,- 
METADATA_MANAGEFIELDS_operation,metadata_managedFields_operation,- 
METADATA_MANAGEFIELDS_OPERATION_apply,metadata_managedFields_operation_apply,-
METADATA_MANAGEFIELDS_OPERATION_update,metadata_managedFields_operation_update,-
METADATA_MANAGEFIELDS_subresource,metadata_managedFields_subresource,- 
METADATA_MANAGEFIELDS_time,metadata_managedFields_time,- 
METADATA_ownerReferences,metadata_ownerReferences,- 
METADATA_OWNERREFERENCES_apiVersion,metadata_ownerReferences_apiVersion,- 
METADATA_OWNERREFERENCES_kind,metadata_ownerReferences_kind,- 
METADATA_OWNERREFERENCES_name,metadata_ownerReferences_name,- 
METADATA_OWNERREFERENCES_uid,metadata_ownerReferences_uid,- 
METADATA_OWNERREFERENCES_blockOwnerDeletion,metadata_ownerReferences_blockOwnerDeletion,- 
METADATA_OWNERREFERENCES_controller,metadata_ownerReferences_controller,- 
spec,spec,-
DeploymentSpec,deploymentspec,-
DEPLOYMENTSPEC_minReadySeconds,deploymentspec_minReadySeconds,-
DEPLOYMENTSPEC_paused,deploymentspec_paused,-
DEPLOYMENTSPEC_progressDeadlineSeconds,deploymentspec_progressDeadlineSeconds,-
DEPLOYMENTSPEC_replicas,deploymentspec_replicas,-
DEPLOYMENTSPEC_revisionHistoryLimit,deploymentspec_revisionHistoryLimit,-
DEPLOYMENTSPEC_selector,deploymentspec_selector,-
SELECTOR_matchLabels,deploymentspec_selector_matchLabels,-
MATCHLABELS_key,deploymentspec_selector_matchLabels_key,-
MATCHLABELS_value,deploymentspec_selector_matchLabels_value,-
SELECTOR_matchExpressions,deploymentspec_selector_matchExpressions,-
